m0,date,Z_unhedged,Z_delta,Z_delta_vega,Z_diffusion,alpha,V_t,n_instruments,straddle_delta,straddle_vega,hedged_delta,hedged_vega
0.75,2018-07-03,-7.299156264384692,-7.299156264384692,-0.24947877217664427,1.5739955432598265,0.001,113.11678160460224,6,0.5397202795704311,474.87785070774646,0.010838694891756928,18.99200932790825
0.75,2018-07-05,3.8586413790891356,-8.765415960063478,0.8624520466067906,2.2606326918847373,0.001,124.27457924807607,6,0.47265684595741353,499.70081214100725,-0.015611417702298236,-12.779986641210314
0.75,2018-07-06,16.009117642848935,-7.585305090975396,-0.04006372385845225,3.1750715200819855,0.001,136.42505551183586,6,0.5981799883166945,417.8322502900909,0.008697009841870718,21.64094847512763
0.75,2018-07-09,32.058116398163065,-6.101989051172723,-1.662391730061131,5.2136068701612714,0.001,152.47405426715,6,0.7222311308694318,325.957079995188,0.021483694942214804,15.87726857318637
0.75,2018-07-10,42.589644097970336,-2.554436386872908,-1.802579847448584,4.63227476143777,0.001,163.00558196695727,6,0.837286030228803,209.13964697935558,-0.008019371358329308,11.629761608521846
0.75,2018-07-11,27.59883159291195,-0.9502397727962375,0.9877096627363642,7.498221034815572,0.001,148.01476946189888,6,0.831427878215689,212.0888387847413,-0.01324928081160548,34.83368032883004
0.75,2018-07-12,41.90103679298707,-6.826789177015797,-2.2373726876535613,5.398529643701636,0.001,162.316974661974,6,0.7634191783984832,263.4289665091903,-0.04832899113398692,34.225667215673525
0.75,2018-07-13,43.899131033953125,-7.134220854812867,-2.664643179326191,4.570830109688387,0.001,164.31506890294006,6,0.9067961944974099,125.9150778025933,-0.005208148434777349,18.234367675324037
0.75,2018-07-16,40.610145496693434,-7.811633351920051,-2.5833410234061205,4.42327039520589,0.001,161.02608336568036,6,0.9246034225045066,103.67918896128322,0.0032438771881329043,21.251567566507504
0.75,2018-07-17,51.60708569022029,-7.096283216643656,-3.8737114833426176,0.5439531325776841,0.001,172.02302355920722,6,0.9327638205710029,85.5714592404616,-0.003252071524584954,24.044033104894723
0.75,2018-07-18,56.35378706811423,-8.011458229615187,-4.509306584654837,0.6017858589428897,0.001,176.76972493710116,6,0.935332086242225,82.21160674470246,0.05526970515680174,7.294382687018242
0.75,2018-07-19,45.1562808075613,-8.79871837029225,-3.292350950459536,4.6055243172535825,0.001,165.57221867654823,6,0.9640438611655383,48.72824300010362,0.08407979972187418,-18.461957777439835
0.75,2018-07-20,42.59297718394396,-8.79766532320923,-3.935031922109374,1.9499273867700424,0.001,163.0089150529309,6,0.9665200547914512,42.42290161964543,0.004275810970346683,29.54870295376365
0.75,2018-07-23,46.860719772314326,-9.507501017015045,-3.419772640811914,4.29272039893857,0.001,167.27665764130126,6,0.9610435379384622,47.99483627108092,0.05917826521921621,12.130907802165332
0.75,2018-07-24,60.05925037261255,-9.206174695851075,-3.3741399352604162,5.644758341423312,0.001,180.47518824159948,6,0.9881640453634645,14.097669058739815,0.03473948839774932,22.643031068552933
0.75,2018-07-25,85.6608270960617,-8.970769016881803,-3.3587978072616522,6.282898391631647,0.001,206.07676496504862,6,0.9964230389252688,4.539064943848636,0.03477436811125656,13.647285680364043
0.75,2018-07-26,77.02882186150862,-9.00364342550995,-3.4028210965267363,6.221959369270735,0.001,197.44475973049555,6,0.9995963229764286,0.5745298640584269,0.004138232368099626,-0.7353003235352771
