m0,date,Z_unhedged,Z_delta,Z_delta_vega,Z_diffusion,alpha,V_t,n_instruments,straddle_delta,straddle_vega,hedged_delta,hedged_vega
0.75,2018-07-03,-7.299156264384692,-7.299156264384692,-0.24947877217664427,-7.299156264384692,5.0,113.11678160460224,0,0.5397202795704311,474.87785070774646,0.5397202795704311,474.87785070774646
0.75,2018-07-05,3.8586413790891356,-8.765415960063478,0.8624520466067906,3.8586413790891356,5.0,124.27457924807607,0,0.47265684595741353,499.70081214100725,0.47265684595741353,499.70081214100725
0.75,2018-07-06,16.009117642848935,-7.585305090975396,-0.04006372385845225,16.009117642848935,5.0,136.42505551183586,0,0.5981799883166945,417.8322502900909,0.5981799883166945,417.8322502900909
0.75,2018-07-09,32.058116398163065,-6.101989051172723,-1.0800773764476617,26.029876824722905,5.0,152.47405426715,1,0.7222311308694318,325.957079995188,0.47190169476069727,224.95345861578704
0.75,2018-07-10,42.589644097970336,-2.554436386872908,1.1144767974727756,31.318494369789562,5.0,163.00558196695727,2,0.837286030228803,209.13964697935558,0.4076284256472205,46.16181181006121
0.75,2018-07-11,27.59883159291195,-0.9502397727962375,1.8562515070853465,25.988349904550773,5.0,148.01476946189888,2,0.831427878215689,212.0888387847413,0.3504695463879318,39.579761704155715
0.75,2018-07-12,41.90103679298707,-6.826789177015797,-3.2642207889858526,30.216841212709653,5.0,162.316974661974,2,0.7634191783984832,263.4289665091903,0.3490192464094887,88.84115470770661
0.75,2018-07-13,43.899131033953125,-7.134220854812867,-3.4561331198788423,31.000909805228673,5.0,164.31506890294006,2,0.9067961944974099,125.9150778025933,0.2958802034799317,-74.09618996283088
0.75,2018-07-16,40.610145496693434,-7.811633351920051,-3.3852540993626974,30.78065059529203,5.0,161.02608336568036,2,0.9246034225045066,103.67918896128322,0.296586790474316,-87.06316945942518
0.75,2018-07-17,51.60708569022029,-7.096283216643656,-2.922746929932032,33.45066153781778,5.0,172.02302355920722,2,0.9327638205710029,85.5714592404616,0.31144130411767534,-89.29258435781342
0.75,2018-07-18,56.35378706811423,-8.011458229615187,-3.747223613799065,34.235684352736826,5.0,176.76972493710116,2,0.935332086242225,82.21160674470246,0.22412514879294565,-98.14497514629048
0.75,2018-07-19,45.1562808075613,-8.79871837029225,-3.979650592332405,33.38415592760748,5.0,165.57221867654823,2,0.9640438611655383,48.72824300010362,0.2167437839229719,-114.20249209498772
0.75,2018-07-20,42.59297718394396,-8.79766532320923,-3.83918593021167,32.51572869609686,5.0,163.0089150529309,2,0.9665200547914512,42.42290161964543,0.2522191263678517,-116.72267894530312
0.75,2018-07-23,46.860719772314326,-9.507501017015045,-4.0615340005289795,35.40425309851662,5.0,167.27665764130126,2,0.9610435379384622,47.99483627108092,0.2697080603999873,-113.45774475222731
0.75,2018-07-24,60.05925037261255,-9.206174695851075,-4.175491905266824,38.0456379027477,5.0,180.47518824159948,2,0.9881640453634645,14.097669058739815,0.2341403431233201,-105.55936227922555
0.75,2018-07-25,85.6608270960617,-8.970769016881803,-4.256345516925393,41.096767315805124,5.0,206.07676496504862,2,0.9964230389252688,4.539064943848636,0.16234490738135565,-82.76327212415194
0.75,2018-07-26,77.02882186150862,-9.00364342550995,-4.258964843905801,40.087842702248736,5.0,197.44475973049555,2,0.9995963229764286,0.5745298640584269,0.06435316993717088,-35.8813713748179
0.75,2018-07-27,58.41540723484951,-9.004574518348079,-4.2616001841740285,39.47017619224249,5.0,178.83134510383644,2,0.9996744396540987,0.4480813061767264,0.09910602570079274,-51.340927928268556
0.75,2018-07-30,42.18421965243394,-9.021042689574216,-4.262144928522531,38.71519581630682,5.0,162.60015752142087,2,0.999281697136455,0.8199596267637219,0.13194620562440507,-55.7963142924492
0.75,2018-07-31,55.87406213242224,-9.011366643384065,-4.260736751308798,41.31563201411089,5.0,176.29000000140917,2,0.9999820090969143,0.01643499585744248,0.19558245253430262,-45.017330216784124
0.75,2018-08-01,52.944062131055944,-9.011419358096646,-4.260702112090712,41.277192712092784,5.0,173.36000000004287,2,0.9999999996896876,2.902638105618615e-07,0.048319218405041164,-9.893351398719592
0.75,2018-08-02,12.050959073089075,12.050959073089075,-0.7732697916919449,12.050959073089075,5.0,248.7583429818865,0,0.9385158728433559,110.55704696984918,0.9385158728433559,110.55704696984918
0.75,2018-08-03,24.39224008102869,12.069526670594996,-0.9044456622170856,24.39224008102869,5.0,261.0996239898261,0,0.9677528094658795,62.59834535525901,0.9677528094658795,62.59834535525901
0.75,2018-08-06,33.9863395256161,11.937710380050135,-1.0649180587957972,33.9863395256161,5.0,270.6937234344135,0,0.9832146786208743,33.9775611713426,0.9832146786208743,33.9775611713426
0.75,2018-08-07,41.87486124603751,11.911353937573722,-1.1092465630997594,41.87486124603751,5.0,278.58224515483494,0,0.9923904393804792,15.853495373240147,0.9923904393804792,15.853495373240147
0.75,2018-08-08,41.068859507785334,11.849645028856969,-1.1417426984177723,41.200851866717784,5.0,277.77624341658276,1,0.9961363536441754,8.477785657859005,0.9567586428182279,-24.370437419570333
0.75,2018-08-09,36.994828391014295,11.879695689099947,-1.1050064681491563,37.28180205549623,5.0,273.7022122998117,1,0.9975357778790762,5.545019419641829,0.9597435279858946,-26.018906720413373
0.75,2018-08-10,17.81550247803665,12.950346067067443,-0.11757521128598114,18.57297289036771,5.0,254.52288638683407,1,0.9963055977806985,7.8095343543585365,0.9621232394670718,-21.566335799172368
0.75,2018-08-13,9.605316634837124,16.048228758679272,2.5842949571770646,10.471771917378703,5.0,246.31270054363455,1,0.9726172687956693,46.793655413560614,0.9518269000447881,25.4763233211522
