m0,date,Z_unhedged,Z_delta,Z_delta_vega,Z_diffusion,alpha,V_t,n_instruments,straddle_delta,straddle_vega,hedged_delta,hedged_vega
0.75,2018-07-03,-7.299156264384692,-0.01832969297947784,-0.24947877217664427,0.1926159852046112,0.01,113.11678160460224,4,0.5397202795704311,474.87785070774646,0.02488869278733663,-7.31606924398352
0.75,2018-07-05,3.8586413790891356,0.08402432355035216,0.8624520466067906,1.2274055302283386,0.01,124.27457924807607,4,0.47265684595741353,499.70081214100725,0.025206407882577164,-9.901561625333386
0.75,2018-07-06,16.009117642848935,-1.6492569415203775,-0.04006372385845225,1.563727787293658,0.01,136.42505551183586,4,0.5981799883166945,417.8322502900909,0.0187617921543195,-14.417187432725541
0.75,2018-07-09,32.058116398163065,-3.186586222876713,-1.662391730061131,0.9874745206686839,0.01,152.47405426715,4,0.7222311308694318,325.957079995188,0.008440261755636835,-17.458996157862998
0.75,2018-07-10,42.589644097970336,-0.751614435381839,-1.802579847448584,3.3439759980509507,0.01,163.00558196695727,4,0.837286030228803,209.13964697935558,0.007644521867300025,-27.53969768800536
0.75,2018-07-11,27.59883159291195,0.7364736057946288,0.9877096627363642,4.34365780436093,0.01,148.01476946189888,5,0.831427878215689,212.0888387847413,-0.02901908243165363,10.59921213195284
0.75,2018-07-12,41.90103679298707,-3.4895046538615304,-2.2373726876535613,1.0406472536635931,0.01,162.316974661974,5,0.7634191783984832,263.4289665091903,-0.029027945699802604,9.004959931492095
0.75,2018-07-13,43.899131033953125,-4.229934920277884,-2.664643179326191,1.242727638015566,0.01,164.31506890294006,5,0.9067961944974099,125.9150778025933,0.005973869969983614,-23.827767995572415
0.75,2018-07-16,40.610145496693434,-4.8560626007241865,-2.5833410234061205,1.0421948482245114,0.01,161.02608336568036,5,0.9246034225045066,103.67918896128322,0.0030168604226022966,-17.87777033252084
0.75,2018-07-17,51.60708569022029,-4.231456091947507,-3.8737114833426176,1.8787203249031563,0.01,172.02302355920722,5,0.9327638205710029,85.5714592404616,0.008948443157367425,-24.59382262396069
0.75,2018-07-18,56.35378706811423,-5.162220477543656,-4.509306584654837,1.2695031168985906,0.01,176.76972493710116,5,0.935332086242225,82.21160674470246,-0.014784040630428819,12.302504868000767
0.75,2018-07-19,45.1562808075613,-5.629918563324395,-3.292350950459536,1.3954946809811872,0.01,165.57221867654823,6,0.9640438611655383,48.72824300010362,-0.0022592837841223234,1.234240622587535
0.75,2018-07-20,42.59297718394396,-5.622278841196248,-3.935031922109374,1.4110359492085536,0.01,163.0089150529309,6,0.9665200547914512,42.42290161964543,0.005384938673681061,-18.508502687940556
0.75,2018-07-23,46.860719772314326,-6.303910473208987,-3.419772640811914,1.7670982945417677,0.01,167.27665764130126,6,0.9610435379384622,47.99483627108092,0.0034560065490693015,-7.574807157468129
0.75,2018-07-24,60.05925037261255,-6.366541361688576,-3.3741399352604162,1.891289041442235,0.01,180.47518824159948,6,0.9881640453634645,14.097669058739815,0.002508176881982238,-9.104729828702236
0.75,2018-07-25,85.6608270960617,-6.34314404745075,-3.3587978072616522,2.06207188436818,0.01,206.07676496504862,6,0.9964230389252688,4.539064943848636,-0.0011165168606459552,1.562460022507298
0.75,2018-07-26,77.02882186150862,-6.348633014717166,-3.4028210965267363,2.0196372962476516,0.01,197.44475973049555,6,0.9995963229764286,0.5745298640584269,0.0007741516360744161,4.7715000946256065
0.75,2018-07-27,58.41540723484951,-6.348109575016849,-3.299340813618244,2.0738672610598883,0.01,178.83134510383644,6,0.9996744396540987,0.4480813061767264,0.0025282328246098995,1.8845397259642347
0.75,2018-07-30,42.18421965243394,-6.370948029878974,-3.278893678965261,2.0713481112265697,0.01,162.60015752142087,6,0.999281697136455,0.8199596267637219,0.001743787008170461,-0.22839756355005458
0.75,2018-07-31,55.87406213242224,-6.3708592544272165,-3.2413827763694485,2.0894968490733277,0.01,176.29000000140917,6,0.9999820090969143,0.01643499585744248,0.0016129510811755399,0.2876106942239315
0.75,2018-08-01,52.944062131055944,-6.370859256702715,-3.240320425202299,2.083556066968413,0.01,173.36000000004287,6,0.9999999996896876,2.902638105618615e-07,0.0013994582237930597,0.2493774588300402
0.75,2018-08-02,12.050959073089075,-0.9568709245195066,-0.7732697916919449,-0.09373854973725315,0.01,248.7583429818865,4,0.9385158728433559,110.55704696984918,0.020183790578569005,1.578213989906999
0.75,2018-08-03,24.39224008102869,-1.3221843048670507,-0.9044456622170856,0.059310417185542974,0.01,261.0996239898261,4,0.9677528094658795,62.59834535525901,0.024833194990913632,-22.88323284098051
0.75,2018-08-06,33.9863395256161,-1.6093923804193082,-1.0649180587957972,0.6553950676665181,0.01,270.6937234344135,4,0.9832146786208743,33.9775611713426,0.023116540841287114,-35.447501113599984
