m0,date,Z_unhedged,Z_delta,Z_delta_vega,Z_diffusion,alpha,V_t,n_instruments,straddle_delta,straddle_vega,hedged_delta,hedged_vega
0.75,2018-07-03,-7.299156264384692,-0.01832969297947784,-0.24947877217664427,0.09925897507764603,0.01,113.11678160460224,5,0.5397202795704311,474.87785070774646,0.03276256454740201,-19.33288907265336
0.75,2018-07-05,3.8586413790891356,0.08402432355035216,0.8624520466067906,1.3157394656574297,0.01,124.27457924807607,6,0.47265684595741353,499.70081214100725,0.034630191951638745,-13.68704402789723
0.75,2018-07-06,16.009117642848935,-1.6492569415203775,-0.04006372385845225,1.8331171960992947,0.01,136.42505551183586,6,0.5981799883166945,417.8322502900909,0.025248121094184395,-22.808042469099917
0.75,2018-07-09,32.058116398163065,-3.186586222876713,-1.662391730061131,1.348116480753788,0.01,152.47405426715,6,0.7222311308694318,325.957079995188,0.010937467426858305,-25.434404246027952
0.75,2018-07-10,42.589644097970336,-0.751614435381839,-1.802579847448584,3.7462672439459084,0.01,163.00558196695727,6,0.837286030228803,209.13964697935558,0.0077084093766243145,-32.23604326886573
0.75,2018-07-11,27.59883159291195,0.7364736057946288,0.9877096627363642,4.727282515846412,0.01,148.01476946189888,6,0.831427878215689,212.0888387847413,-0.029997934861981657,9.516959216880707
0.75,2018-07-12,41.90103679298707,-3.4895046538615304,-2.2373726876535613,1.4519611984772212,0.01,162.316974661974,6,0.7634191783984832,263.4289665091903,-0.02956624027052035,5.585503306240128
0.75,2018-07-13,43.899131033953125,-4.229934920277884,-2.664643179326191,1.6712120299882542,0.01,164.31506890294006,6,0.9067961944974099,125.9150778025933,0.003764151300779006,-24.949313322147916
0.75,2018-07-16,40.610145496693434,-4.8560626007241865,-2.5833410234061205,1.4728157003874855,0.01,161.02608336568036,6,0.9246034225045066,103.67918896128322,-0.00024247498954066415,-17.738577434565656
0.75,2018-07-17,51.60708569022029,-4.231456091947507,-3.8737114833426176,2.3305432074181454,0.01,172.02302355920722,6,0.9327638205710029,85.5714592404616,0.005800945225006959,-24.331653262415003
